Indicator,learning_poverty,pupil_teacher_ratio,trained_teachers,gov_expenditure,u5_mortality
learning_poverty,1.0,0.677002806121477,-0.44505631175176824,-0.3207019016254554,0.8648858927599834
pupil_teacher_ratio,0.677002806121477,1.0,-0.3630828124825745,-0.3537253638689793,0.7804699603962735
trained_teachers,-0.44505631175176824,-0.3630828124825745,1.0,0.2659762275854527,-0.4338181313720076
gov_expenditure,-0.3207019016254554,-0.3537253638689793,0.2659762275854527,1.0,-0.3916126924606439
u5_mortality,0.8648858927599834,0.7804699603962735,-0.4338181313720076,-0.3916126924606439,1.0
